PlayerName,Team,Nationality,Age,Height,PreferedFoot,Position,PlayerValue,TotalPlayed,Started,MinutePerGame,TeamOfTheWeek,Goals,ExpectedGoals,ScoringFrequency,GoalsPerGame,ShotsPerGame,ShotsOnTargetPerGame,BigChancesMissed,GoalConversion,FreeKickGoals,FreeKickConversion,GoalsFromInsideTheBox,GoalsFromOutsideTheBox,HeadedGoals,LeftFootGoals,RightFootGoals,PenaltyWon,Assists,ExpectedAssists,Touches,BigChanceCreated,KeyPasses,AccuratePerGame,Acc.OwnHalf,Acc.opposition_half,Acc.long_balls,Acc.chipped_passes,Acc.crosses,Interceptions_per_game,Tackles_per_game,Possession won,Balls_recovered_per_game,Dribbled_past_per_game,Clearances_per_game,Error_led_to_shot,ErrorLeadToShot,ErrorLedToGoal,PenaltiesCommited,Yellow,Yellow-Red,Red-Cards
Mauro Icardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilfried Zaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cédric Bakambu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barış Alper Yılmaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halil Dervişoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baran Demiroğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
